trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.35, 'e': 0.9329999999999999}",25,12,-52.86643472904095,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
68,False,"{'a': 0.35, 'e': 0.9319999999999999}",25,0,-99.1807142184462,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
69,False,"{'a': 0.35, 'e': 0.9309999999999999}",20,0,-226.57151561220093,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
70,False,"{'a': 0.35, 'e': 0.9299999999999999}",25,0,-172.7217669815259,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
71,False,"{'a': 0.35, 'e': 0.9289999999999999}",20,0,-119.51927271062372,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
72,False,"{'a': 0.35, 'e': 0.9279999999999999}",25,0,-94.3686150069797,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.35, 'e': 0.9269999999999999}",25,0,-94.81856320581302,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 2}",0
74,False,"{'a': 0.35, 'e': 0.9259999999999999}",30,0,-112.37945684389575,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
75,False,"{'a': 0.35, 'e': 0.9249999999999999}",30,0,-228.39688920117823,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
76,False,"{'a': 0.35, 'e': 0.9239999999999999}",20,0,-175.6845796266792,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
77,False,"{'a': 0.35, 'e': 0.9229999999999999}",20,0,-53.69467155356593,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.35, 'e': 0.9219999999999999}",25,0,-151.01178541174397,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
79,False,"{'a': 0.35, 'e': 0.9209999999999999}",20,0,-164.21544234843296,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
80,False,"{'a': 0.35, 'e': 0.9199999999999999}",20,0,8.535914602801249,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.35, 'e': 0.9189999999999999}",20,0,-27.521600913746834,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.35, 'e': 0.9179999999999999}",20,9,-53.88990083631321,"{0: 6, 1: 1, 2: 2, 3: 2, 4: 0}",1
